id,profile_title,user_id,grinder,grinderBrand,grinderModel,grind,grindScale,roastLevel,beanAge,dose,volumeTarget,actualVolume,timeTarget,actualTime,humidity,waterTempC,tampPressureKg
a5416f79-835b-4a19-8eb8-835a05707ce6,U1 Coffee,e0166f77-d500-4c6a-95da-139e13b20595,,,,1,,,,18,,40.4,,37.33,,,
478cdbb0-becd-40d3-8de7-20a833d786ee,Cafelat,7820f210-2ccb-4d2d-ba61-c5553e1281e1,mavo幻刺pro,mavo幻刺pro,,0.9,,UNKNOWN,,17.9,,23.5,,56.737,,,
384846e2-ce12-413c-8ae8-c60efc202d9c,U1 Coffee,e0166f77-d500-4c6a-95da-139e13b20595,,,,1,,,,18,,40.3,,19.258,,,
4cf08fd0-459f-4008-84e9-79e713b51a8f,Gentle and sweet,5b30ffe2-185e-4631-aaee-f94f800cc0c7,P64,P64,,0.75,,Medium,,18,,34.2,,29.055,,,
cf015176-26da-4610-8732-1f58fbf35a21,Default,410863e9-3e75-42a4-9ccd-556d9e316773,Timemore_78s,Timemore,78s,2,,Light,,18,,35.7,,13.011,,,
a8bb2925-d78e-42a1-b738-118aa6d51ddd,Visualizer/Baseline LC,a93fe6a6-9f1d-43cb-9100-17127a517a39,Niche_Zero,Niche,Zero,14,,Light to Medium,,18.1,,43.9,,13.011,,,
a74223f3-c4fe-40b1-a13e-cb0e2fa8a155,Cloud Std / 9B 2.5ml Flow,26de433a-be1c-495e-b53f-08419a128824,Lagom_01,Lagom,1,1.1,,Medium,,18,,57.4,,28.77,,,
f5d7bcef-b6e0-4f73-a1a7-5977a2d8438d,D-Flow / La Pavoni,b0f8a0ca-2e10-442c-a93d-259ff6c12469,Versalab_M4,Versalab,M4,3.6,,3,,18.1,,40.3,,33.898,,,
3cca97b1-de8b-4340-9260-4b832859c78f,D-Flow / La Pavoni,b0f8a0ca-2e10-442c-a93d-259ff6c12469,Versalab_M4,Versalab,M4,3.6,,3,,18.1,,40,,32.811,,,
c45ea0b3-3b64-4606-9929-08286c2bb5e0,zzz,32c30031-0166-4c4c-8c58-f3da4733027e,,,,0,,,,17,,38.8,,35.412,,,
